"flow size", "Market extra cost"
1, -6.19641975309
2, -12.5484848485
3, -16.3935365854
4, -22.9048717949
5, -26.6288607595
6, -34.0791891892
7, -33.9028915663
8, -42.6704761905
9, -46.81
10, -47.2293023256
11, -43.3022826087
12, -58.6518681319
13, -56.2796385542
14, -64.18828125
15, -43.8501587302
16, -49.5901204819
17, -43.5260215054
18, -49.6153333333
19, -45.0369736842
20, -37.1550724638
21, -36.3094382022
22, -47.9748351648
23, -14.5158571429
24, -4.07633802817
25, -18.2310144928
26, -7.81718309859
27, 28.3773033708
28, 5.92086419753
29, 20.2967567568
30, 13.5556818182
31, 36.9467857143
32, 48.6664705882
33, 59.9514492754
34, 49.7977333333
35, 63.695060241
36, 97.6584146341
37, 103.820769231
38, 117.199195402
39, 132.323414634
40, 140.208026316
